MerchantID,city,name,address,latitude,logitude,phone,rate,reviewSize
10099,Hà Nội,Trà Sữa Gong Cha - 貢茶 - Giảng Võ,"Tầng 1, D2 Giảng Võ, Quận Ba Đình, Hà Nội",21.025728,105.822045,,3.650000,385
5648,Hà Nội,Highlands Coffee - Du Thuyền,"9 Thanh Niên, P. Quán Thánh, Quận Ba Đình, Hà Nội",21.049499,105.839217,,3.550000,235
13766,Hà Nội,Botanica Restaurant - Giảng Võ,"116 D4 Giảng Võ , Quận Ba Đình, Hà Nội",21.026040,105.822366,,3.800000,255
6524,Hà Nội,Gimbab Hàn Quốc - Ngọc Khánh,"52 Ngọc Khánh, Quận Ba Đình, Hà Nội",21.028991,105.817394,,3.450000,233
5145,Hà Nội,Jouri Dessert & Tea,"10 Khúc Hạo, P. Điện Biên, Quận Ba Đình, Hà Nội",21.031710,105.837032,,3.400000,170
4013,Hà Nội,Kampong Chicken - Láng Hạ,"31i Láng Hạ, Ba Dinh District, Hà Nội",21.020451,105.817685,,3.550000,139
6231,Hà Nội,Bánh Mì Cô Long - Nguyễn Chí Thanh,"29 Nguyễn Chí Thanh, Quận Ba Đình, Hà Nội",21.028733,105.812760,,4.200000,171
16488,Hà Nội,Food Corner - Châu Long,"35A Châu Long, Quận Ba Đình, Hà Nội",21.045092,105.842493,,3.500000,171
4061,Hà Nội,Trà Sữa Bobapop - Đào Tấn,"103 Đào Tấn, P. Ngọc Khánh, Quận Ba Đình, Hà Nội",21.033973,105.805880,,3.750000,165
4113,Hà Nội,Ding Tea - Đào Tấn,"15A Đào Tấn, Quận Ba Đình, Hà Nội",21.032386,105.809007,,3.550000,109
8754,Hà Nội,Tú Xèo - Bánh Xèo Nem Lụi,"5 Ngõ 167 Đội Cấn, P. Đội Cấn, Quận Ba Đình, Hà Nội",21.034940,105.825335,,3.300000,150
5797,Hà Nội,Chevi - Tea & Coffee - Thanh Niên,"9 Thanh Niên, Quận Ba Đình, Hà Nội",21.043192,105.836067,,3.150000,100
5572,Hà Nội,Nem Nộm Gia Truyền Hoa Mai - Thành Công,"111A5 Thành Công, Quận Ba Đình, Hà Nội",21.020889,105.815820,,3.750000,116
5656,Hà Nội,Highlands Coffee - Cột Cờ,"28A Điện Biên Phủ, P. Điện Biên, Quận Ba Đình, Hà Nội",21.032226,105.839871,,3.500000,107
10383,Hà Nội,Bánh Bao Nóng & Sữa Xay - Nguyên Hồng,"1B Nguyên Hồng, Quận Ba Đình, Hà Nội",21.024688,105.811592,,3.750000,115
7522,Hà Nội,Chè Xoài Minci - Nguyễn Trường Tộ,"2 Nguyễn Trường Tộ, Quận Ba Đình, Hà Nội",21.041859,105.847446,,3.800000,109
8637,Hà Nội,Bangkok Thai Cuisine Restaurant - Giảng Võ,"115 K1 Giảng Võ, Quận Ba Đình, Hà Nội",21.025288,105.822095,,3.550000,67
2248,Hà Nội,Nook Coffee & Tea House - Huỳnh Thúc Kháng,"9 Ngõ 16 Huỳnh Thúc Kháng, Quận Ba Đình, Hà Nội",21.018903,105.810695,,3.400000,79
2117,Hà Nội,Lemon House Coffee - Giảng Võ,"144 D2 Giảng Võ, Quận Ba Đình, Hà Nội",21.025937,105.821915,,3.450000,85
2329,Hà Nội,Hotdog Station,"12 Hàng Than, Quận Ba Đình, Hà Nội",21.042418,105.847171,,3.800000,97
4581,Hà Nội,Gimbab Hàn Quốc - 83 Đào Tấn,"83 Đào Tấn , Quận Ba Đình, Hà Nội",21.034083,105.805638,,3.400000,76
5275,Hà Nội,Woodpecker Coffee,"6B Nguyễn Văn Ngọc, Quận Ba Đình, Hà Nội",21.034013,105.811491,,3.400000,67
5865,Hà Nội,Ốc Ken Sài Gòn - Đội Cấn,"8 Ngõ 135 Đội Cấn, Quận Ba Đình, Hà Nội",21.036146,105.828490,,3.500000,69
3890,Hà Nội,Tea Time - Núi Trúc,"2 Ngõ 12 Núi Trúc, Quận Ba Đình, Hà Nội",21.028976,105.823486,,3.650000,75
1572,Hà Nội,Cuốn N Roll Restaurant - Giảng Võ,"Tầng 3 Tòa Nhà D2, Giảng Võ, Quận Ba Đình, Hà Nội",21.026408,105.822960,,3.500000,56
33493,Hà Nội,Cộng Caphe - Điện Biên Phủ,"32 Điện Biên Phủ, Quận Ba Đình, Hà Nội",21.033508,105.838423,,3.550000,66
16728,Hà Nội,Lotteria - Núi Trúc,"1 Núi Trúc, Quận Ba Đình, Hà Nội",21.031174,105.821847,,3.400000,73
6322,Hà Nội,Cúc - Cháo Sườn Sụn - Đội Cấn,"142D Đội Cấn, Quận Ba Đình, Hà Nội",21.034814,105.826593,,3.750000,68
1846,Hà Nội,Phở Cuốn 31,"31 Ngũ Xã, P. Trúc Bạch, Quận Ba Đình, Hà Nội",21.045961,105.840981,,3.650000,51
2285,Hà Nội,Hùng Thái - Bún Chả Hàng Mành,"107 B1 Thành Công, Quận Ba Đình, Hà Nội",21.020689,105.814517,,3.650000,72
13717,Hà Nội,Royaltea - Đào Tấn,"76 Đào Tấn, Quận Ba Đình, Hà Nội",21.032838,105.807852,,3.300000,62
15264,Hà Nội,Bún Ốc Gia Truyền - Giảng Võ,"120A1 Ngõ 140 Giảng Võ, Quận Ba Đình, Hà Nội",21.027698,105.824027,,3.950000,53
4240,Hà Nội,Queen Bee Bakery - Hòe Nhai,"13 Hòe Nhai, Ba Dinh District, Hà Nội",21.041386,105.846392,,3.600000,51
45857,Hà Nội,Cơm Tấm Phương Anh - Trần Huy Liệu,"119A6 Trần Huy Liệu, Quận Ba Đình, Hà Nội",21.029783,105.819782,,3.900000,61
11317,Hà Nội,Bánh Su Kem Chewy Junior - Đào Tấn,"12 Đào Tấn, Quận Ba Đình, Hà Nội",21.032130,105.810513,,3.600000,48
2460,Hà Nội,Xôi Xéo Oanh Oanh,"573 Đê La Thành, Quận Ba Đình, Hà Nội",21.023794,105.817125,,3.850000,49
3442,Hà Nội,Trà Sữa Tocotoco - Cửa Bắc,"92 Cửa Bắc, Ba Dinh District, Hà Nội",21.041598,105.842276,,3.550000,52
6595,Hà Nội,EMM'S French Bistro,"110 D1 Trần Huy Liệu, Quận Ba Đình, Hà Nội",21.027028,105.822354,,3.600000,30
10591,Hà Nội,Trạm Sushi,"84 Trấn Vũ, Quận Ba Đình, Hà Nội",21.043345,105.839566,,4.050000,43
5070,Hà Nội,Trà Tiên Hưởng - Nguyễn Chí Thanh,"145 Nguyễn Chí Thanh, Quận Ba Đình, Hà Nội",21.015534,105.805315,,3.400000,56
18620,Hà Nội,LeeTee - Tea & Juice - Đào Tấn,"71 Đào Tấn, Quận Ba Đình, Hà Nội",21.033160,105.806598,,3.600000,61
3575,Hà Nội,Sushi 24 - Ẩm Thực Đường Phố Nhật Bản,"285 Kim Mã (111/A5 TT Giảng Võ), Quận Ba Đình, Hà Nội",21.030694,105.818443,,3.650000,35
7633,Hà Nội,Family Steak House,"91 Văn Cao, Quận Ba Đình, Hà Nội",21.038882,105.815683,,3.450000,39
